------------------------------------------------------------
 Wavefunction  1
------------------------------------------------------------
Distance (nm), Wavefunction (arbitrary units)
                 -35,             3.28e-14
               -34.9,             2.87e-14
               -34.8,             2.69e-14
               -34.7,             2.48e-14
               -34.6,             1.79e-14
               -34.5,             1.06e-14
               -34.4,             5.01e-15
               -34.3,            -3.02e-15
               -34.2,            -6.84e-15
               -34.1,            -7.67e-15
                 -34,            -8.96e-15
               -33.9,            -8.28e-15
               -33.8,            -2.96e-15
               -33.7,             1.28e-15
               -33.6,            -4.98e-15
               -33.5,            -4.09e-15
               -33.4,            -4.87e-15
               -33.3,            -2.26e-15
               -33.2,             3.79e-16
               -33.1,             3.01e-15
                 -33,            -5.52e-15
               -32.9,            -1.06e-14
               -32.8,            -7.51e-15
               -32.7,            -5.52e-15
               -32.6,            -4.32e-15
               -32.5,             -8.4e-15
               -32.4,            -9.67e-15
               -32.3,             -5.5e-15
               -32.2,             1.65e-15
               -32.1,             4.06e-15
                 -32,             4.02e-15
               -31.9,              7.3e-15
               -31.8,             1.02e-14
               -31.7,             1.25e-14
               -31.6,             1.62e-14
               -31.5,             1.64e-14
               -31.4,             1.47e-14
               -31.3,             1.12e-14
               -31.2,             1.19e-14
               -31.1,             7.23e-15
                 -31,             3.72e-16
               -30.9,            -3.92e-15
               -30.8,            -5.01e-15
               -30.7,            -9.01e-15
               -30.6,            -1.88e-14
               -30.5,            -2.15e-14
               -30.4,            -1.53e-14
               -30.3,            -1.29e-14
               -30.2,            -7.64e-15
               -30.1,            -5.61e-16
                 -30,             5.85e-15
               -29.9,             1.86e-14
               -29.8,             2.21e-14
               -29.7,             2.37e-14
               -29.6,             2.97e-14
               -29.5,             2.81e-14
               -29.4,             3.17e-14
               -29.3,              3.6e-14
               -29.2,              3.1e-14
               -29.1,             2.88e-14
                 -29,             3.18e-14
               -28.9,             3.47e-14
               -28.8,             3.66e-14
               -28.7,             3.97e-14
               -28.6,             4.78e-14
               -28.5,             5.24e-14
               -28.4,             5.54e-14
               -28.3,             5.51e-14
               -28.2,             5.58e-14
               -28.1,             4.98e-14
                 -28,             4.05e-14
               -27.9,             3.62e-14
               -27.8,             2.96e-14
               -27.7,             1.78e-14
               -27.6,             1.89e-15
               -27.5,               -1e-14
               -27.4,            -1.99e-14
               -27.3,            -3.14e-14
               -27.2,            -3.89e-14
               -27.1,            -4.16e-14
