n_x,n_y,n_z,m_x,m_y,m_z,Energy_Transition_eV,Interaction_Matrix_Element
0,0,0,0,0,0,0,-1.06741658487401e+29
0,0,1,0,0,0,0.105837072240114,-1.06741658487401e+29
0,0,2,0,0,0,0.423348288960456,-1.06741658487401e+29
0,0,3,0,0,0,0.952533650161027,-1.06741658487401e+29
0,1,0,0,0,0,0.00661481701500713,-1.06741658487401e+29
0,1,1,0,0,0,0.112451889255121,-1.06741658487401e+29
0,1,2,0,0,0,0.429963105975463,-1.06741658487401e+29
0,1,3,0,0,0,0.959148467176034,-1.06741658487401e+29
0,2,0,0,0,0,0.0264592680600285,-1.06741658487401e+29
0,2,1,0,0,0,0.132296340300143,-1.06741658487401e+29
0,2,2,0,0,0,0.449807557020485,-1.06741658487401e+29
0,2,3,0,0,0,0.978992918221055,-1.06741658487401e+29
0,3,0,0,0,0,0.0595333531350642,-1.06741658487401e+29
0,3,1,0,0,0,0.165370425375178,-1.06741658487401e+29
0,3,2,0,0,0,0.482881642095521,-1.06741658487401e+29
0,3,3,0,0,0,1.01206700329609,-1.06741658487401e+29
0,4,0,0,0,0,0.105837072240114,-1.06741658487401e+29
0,4,1,0,0,0,0.211674144480228,-1.06741658487401e+29
0,4,2,0,0,0,0.52918536120057,-1.06741658487401e+29
0,4,3,0,0,0,1.05837072240114,-1.06741658487401e+29
0,5,0,0,0,0,0.165370425375178,-1.06741658487401e+29
0,5,1,0,0,0,0.271207497615292,-1.06741658487401e+29
0,5,2,0,0,0,0.588718714335635,-1.06741658487401e+29
0,5,3,0,0,0,1.11790407553621,-1.06741658487401e+29
0,6,0,0,0,0,0.238133412540257,-1.06741658487401e+29
0,6,1,0,0,0,0.343970484780371,-1.06741658487401e+29
0,6,2,0,0,0,0.661481701500713,-1.06741658487401e+29
0,6,3,0,0,0,1.19066706270128,-1.06741658487401e+29
0,7,0,0,0,0,0.324126033735349,-1.06741658487401e+29
0,7,1,0,0,0,0.429963105975463,-1.06741658487401e+29
0,7,2,0,0,0,0.747474322695806,-1.06741658487401e+29
0,7,3,0,0,0,1.27665968389638,-1.06741658487401e+29
0,8,0,0,0,0,0.423348288960456,-1.06741658487401e+29
0,8,1,0,0,0,0.52918536120057,-1.06741658487401e+29
0,8,2,0,0,0,0.846696577920913,-1.06741658487401e+29
0,8,3,0,0,0,1.37588193912148,-1.06741658487401e+29
0,9,0,0,0,0,0.535800178215578,-1.06741658487401e+29
0,9,1,0,0,0,0.641637250455692,-1.06741658487401e+29
0,9,2,0,0,0,0.959148467176034,-1.06741658487401e+29
0,9,3,0,0,0,1.4883338283766,-1.06741658487401e+29
1,0,0,0,0,0,0.0029399186733365,-1.06741658487401e+29
1,0,1,0,0,0,0.108776990913451,-1.06741658487401e+29
1,0,2,0,0,0,0.426288207633793,-1.06741658487401e+29
1,0,3,0,0,0,0.955473568834363,-1.06741658487401e+29
1,1,0,0,0,0,0.00955473568834363,-1.06741658487401e+29
1,1,1,0,0,0,0.115391807928458,-1.06741658487401e+29
1,1,2,0,0,0,0.4329030246488,-1.06741658487401e+29
1,1,3,0,0,0,0.962088385849371,-1.06741658487401e+29
1,2,0,0,0,0,0.029399186733365,-1.06741658487401e+29
1,2,1,0,0,0,0.135236258973479,-1.06741658487401e+29
1,2,2,0,0,0,0.452747475693821,-1.06741658487401e+29
1,2,3,0,0,0,0.981932836894392,-1.06741658487401e+29
1,3,0,0,0,0,0.0624732718084007,-1.06741658487401e+29
1,3,1,0,0,0,0.168310344048515,-1.06741658487401e+29
1,3,2,0,0,0,0.485821560768857,-1.06741658487401e+29
1,3,3,0,0,0,1.01500692196943,-1.06741658487401e+29
1,4,0,0,0,0,0.108776990913451,-1.06741658487401e+29
1,4,1,0,0,0,0.214614063153565,-1.06741658487401e+29
1,4,2,0,0,0,0.532125279873907,-1.06741658487401e+29
1,4,3,0,0,0,1.06131064107448,-1.06741658487401e+29
1,5,0,0,0,0,0.168310344048515,-1.06741658487401e+29
1,5,1,0,0,0,0.274147416288629,-1.06741658487401e+29
1,5,2,0,0,0,0.591658633008971,-1.06741658487401e+29
1,5,3,0,0,0,1.12084399420954,-1.06741658487401e+29
1,6,0,0,0,0,0.241073331213593,-1.06741658487401e+29
1,6,1,0,0,0,0.346910403453707,-1.06741658487401e+29
1,6,2,0,0,0,0.66442162017405,-1.06741658487401e+29
1,6,3,0,0,0,1.19360698137462,-1.06741658487401e+29
1,7,0,0,0,0,0.327065952408686,-1.06741658487401e+29
1,7,1,0,0,0,0.4329030246488,-1.06741658487401e+29
1,7,2,0,0,0,0.750414241369142,-1.06741658487401e+29
1,7,3,0,0,0,1.27959960256971,-1.06741658487401e+29
1,8,0,0,0,0,0.426288207633793,-1.06741658487401e+29
1,8,1,0,0,0,0.532125279873907,-1.06741658487401e+29
1,8,2,0,0,0,0.849636496594249,-1.06741658487401e+29
1,8,3,0,0,0,1.37882185779482,-1.06741658487401e+29
1,9,0,0,0,0,0.538740096888914,-1.06741658487401e+29
1,9,1,0,0,0,0.644577169129028,-1.06741658487401e+29
1,9,2,0,0,0,0.962088385849371,-1.06741658487401e+29
1,9,3,0,0,0,1.49127374704994,-1.06741658487401e+29
2,0,0,0,0,0,0.011759674693346,-1.06741658487401e+29
2,0,1,0,0,0,0.11759674693346,-1.06741658487401e+29
2,0,2,0,0,0,0.435107963653802,-1.06741658487401e+29
2,0,3,0,0,0,0.964293324854373,-1.06741658487401e+29
2,1,0,0,0,0,0.0183744917083531,-1.06741658487401e+29
2,1,1,0,0,0,0.124211563948467,-1.06741658487401e+29
2,1,2,0,0,0,0.441722780668809,-1.06741658487401e+29
2,1,3,0,0,0,0.97090814186938,-1.06741658487401e+29
2,2,0,0,0,0,0.0382189427533745,-1.06741658487401e+29
2,2,1,0,0,0,0.144056014993489,-1.06741658487401e+29
2,2,2,0,0,0,0.461567231713831,-1.06741658487401e+29
2,2,3,0,0,0,0.990752592914401,-1.06741658487401e+29
2,3,0,0,0,0,0.0712930278284102,-1.06741658487401e+29
2,3,1,0,0,0,0.177130100068524,-1.06741658487401e+29
2,3,2,0,0,0,0.494641316788866,-1.06741658487401e+29
2,3,3,0,0,0,1.02382667798944,-1.06741658487401e+29
2,4,0,0,0,0,0.11759674693346,-1.06741658487401e+29
2,4,1,0,0,0,0.223433819173574,-1.06741658487401e+29
2,4,2,0,0,0,0.540945035893916,-1.06741658487401e+29
2,4,3,0,0,0,1.07013039709449,-1.06741658487401e+29
2,5,0,0,0,0,0.177130100068524,-1.06741658487401e+29
2,5,1,0,0,0,0.282967172308638,-1.06741658487401e+29
2,5,2,0,0,0,0.600478389028981,-1.06741658487401e+29
2,5,3,0,0,0,1.12966375022955,-1.06741658487401e+29
2,6,0,0,0,0,0.249893087233603,-1.06741658487401e+29
2,6,1,0,0,0,0.355730159473717,-1.06741658487401e+29
2,6,2,0,0,0,0.673241376194059,-1.06741658487401e+29
2,6,3,0,0,0,1.20242673739463,-1.06741658487401e+29
2,7,0,0,0,0,0.335885708428695,-1.06741658487401e+29
2,7,1,0,0,0,0.441722780668809,-1.06741658487401e+29
2,7,2,0,0,0,0.759233997389152,-1.06741658487401e+29
2,7,3,0,0,0,1.28841935858972,-1.06741658487401e+29
2,8,0,0,0,0,0.435107963653802,-1.06741658487401e+29
2,8,1,0,0,0,0.540945035893916,-1.06741658487401e+29
