n_x,n_y,n_z,m_x,m_y,m_z,Energy Transition (in eV)
0,0,0,0,1,0,-0.00662382970319008
0,0,1,0,1,0,0.0993574455478512
0,0,2,0,1,0,0.417301271300975
0,0,3,0,1,0,0.947207647556181
0,1,0,0,1,0,0
0,1,1,0,1,0,0.105981275251041
0,1,2,0,1,0,0.423925101004165
0,1,3,0,1,0,0.953831477259371
0,2,0,0,1,0,0.0198714891095702
0,2,1,0,1,0,0.125852764360611
0,2,2,0,1,0,0.443796590113735
0,2,3,0,1,0,0.973702966368941
0,3,0,0,1,0,0.0529906376255206
0,3,1,0,1,0,0.158971912876562
0,3,2,0,1,0,0.476915738629686
0,3,3,0,1,0,1.00682211488489
0,4,0,0,1,0,0.0993574455478512
0,4,1,0,1,0,0.205338720798892
0,4,2,0,1,0,0.523282546552016
0,4,3,0,1,0,1.05318892280722
0,5,0,0,1,0,0.158971912876562
0,5,1,0,1,0,0.264953188127603
0,5,2,0,1,0,0.582897013880727
0,5,3,0,1,0,1.11280339013593
0,6,0,0,1,0,0.231834039611653
0,6,1,0,1,0,0.337815314862694
0,6,2,0,1,0,0.655759140615818
0,6,3,0,1,0,1.18566551687102
0,7,0,0,1,0,0.317943825753124
0,7,1,0,1,0,0.423925101004165
0,7,2,0,1,0,0.741868926757289
0,7,3,0,1,0,1.27177530301249
0,8,0,0,1,0,0.417301271300975
0,8,1,0,1,0,0.523282546552016
0,8,2,0,1,0,0.84122637230514
0,8,3,0,1,0,1.37113274856035
0,9,0,0,1,0,0.529906376255206
0,9,1,0,1,0,0.635887651506247
0,9,2,0,1,0,0.953831477259371
0,9,3,0,1,0,1.48373785351458
1,0,0,0,1,0,-0.00367990539066115
1,0,1,0,1,0,0.10230136986038
1,0,2,0,1,0,0.420245195613504
1,0,3,0,1,0,0.95015157186871
1,1,0,0,1,0,0.00294392431252892
1,1,1,0,1,0,0.10892519956357
1,1,2,0,1,0,0.426869025316694
1,1,3,0,1,0,0.9567754015719
1,2,0,0,1,0,0.0228154134220992
1,2,1,0,1,0,0.12879668867314
1,2,2,0,1,0,0.446740514426264
1,2,3,0,1,0,0.97664689068147
1,3,0,0,1,0,0.0559345619380495
1,3,1,0,1,0,0.161915837189091
1,3,2,0,1,0,0.479859662942214
1,3,3,0,1,0,1.00976603919742
1,4,0,0,1,0,0.10230136986038
1,4,1,0,1,0,0.208282645111421
1,4,2,0,1,0,0.526226470864545
1,4,3,0,1,0,1.05613284711975
1,5,0,0,1,0,0.161915837189091
1,5,1,0,1,0,0.267897112440132
1,5,2,0,1,0,0.585840938193256
1,5,3,0,1,0,1.11574731444846
1,6,0,0,1,0,0.234777963924182
1,6,1,0,1,0,0.340759239175223
1,6,2,0,1,0,0.658703064928347
1,6,3,0,1,0,1.18860944118355
1,7,0,0,1,0,0.320887750065653
1,7,1,0,1,0,0.426869025316694
1,7,2,0,1,0,0.744812851069818
1,7,3,0,1,0,1.27471922732502
1,8,0,0,1,0,0.420245195613504
1,8,1,0,1,0,0.526226470864545
1,8,2,0,1,0,0.844170296617669
1,8,3,0,1,0,1.37407667287288
1,9,0,0,1,0,0.532850300567735
1,9,1,0,1,0,0.638831575818776
1,9,2,0,1,0,0.9567754015719
1,9,3,0,1,0,1.48668177782711
2,0,0,0,1,0,0.00515186754692562
2,0,1,0,1,0,0.111133142797967
2,0,2,0,1,0,0.429076968551091
2,0,3,0,1,0,0.958983344806297
2,1,0,0,1,0,0.0117756972501157
2,1,1,0,1,0,0.117756972501157
2,1,2,0,1,0,0.435700798254281
2,1,3,0,1,0,0.965607174509487
2,2,0,0,1,0,0.0316471863596859
2,2,1,0,1,0,0.137628461610727
2,2,2,0,1,0,0.455572287363851
2,2,3,0,1,0,0.985478663619057
2,3,0,0,1,0,0.0647663348756363
2,3,1,0,1,0,0.170747610126678
2,3,2,0,1,0,0.488691435879801
2,3,3,0,1,0,1.01859781213501
2,4,0,0,1,0,0.111133142797967
2,4,1,0,1,0,0.217114418049008
2,4,2,0,1,0,0.535058243802132
2,4,3,0,1,0,1.06496462005734
2,5,0,0,1,0,0.170747610126678
2,5,1,0,1,0,0.276728885377719
2,5,2,0,1,0,0.594672711130843
2,5,3,0,1,0,1.12457908738605
2,6,0,0,1,0,0.243609736861768
2,6,1,0,1,0,0.34959101211281
2,6,2,0,1,0,0.667534837865933
2,6,3,0,1,0,1.19744121412114
2,7,0,0,1,0,0.329719523003239
2,7,1,0,1,0,0.435700798254281
2,7,2,0,1,0,0.753644624007404
2,7,3,0,1,0,1.28355100026261
2,8,0,0,1,0,0.429076968551091
2,8,1,0,1,0,0.535058243802132
2,8,2,0,1,0,0.853002069555256
2,8,3,0,1,0,1.38290844581046
2,9,0,0,1,0,0.541682073505322
2,9,1,0,1,0,0.647663348756363
2,9,2,0,1,0,0.965607174509487
2,9,3,0,1,0,1.49551355076469
3,0,0,0,1,0,0.0198714891095702
3,0,1,0,1,0,0.125852764360611
3,0,2,0,1,0,0.443796590113735
3,0,3,0,1,0,0.973702966368941
3,1,0,0,1,0,0.0264953188127603
3,1,1,0,1,0,0.132476594063802
3,1,2,0,1,0,0.450420419816925
3,1,3,0,1,0,0.980326796072131
3,2,0,0,1,0,0.0463668079223305
3,2,1,0,1,0,0.152348083173372
3,2,2,0,1,0,0.470291908926496
3,2,3,0,1,0,1.0001982851817
3,3,0,0,1,0,0.0794859564382809
3,3,1,0,1,0,0.185467231689322
3,3,2,0,1,0,0.503411057442446
3,3,3,0,1,0,1.03331743369765
3,4,0,0,1,0,0.125852764360611
3,4,1,0,1,0,0.231834039611653
3,4,2,0,1,0,0.549777865364776
3,4,3,0,1,0,1.07968424161998
3,5,0,0,1,0,0.185467231689322
3,5,1,0,1,0,0.291448506940363
3,5,2,0,1,0,0.609392332693487
3,5,3,0,1,0,1.13929870894869
3,6,0,0,1,0,0.258329358424413
3,6,1,0,1,0,0.364310633675454
3,6,2,0,1,0,0.682254459428578
3,6,3,0,1,0,1.21216083568378
3,7,0,0,1,0,0.344439144565884
3,7,1,0,1,0,0.450420419816925
3,7,2,0,1,0,0.768364245570049
3,7,3,0,1,0,1.29827062182526
3,8,0,0,1,0,0.443796590113735
3,8,1,0,1,0,0.549777865364776
3,8,2,0,1,0,0.8677216911179
3,8,3,0,1,0,1.39762806737311
3,9,0,0,1,0,0.556401695067967
3,9,1,0,1,0,0.662382970319008
3,9,2,0,1,0,0.980326796072131
3,9,3,0,1,0,1.51023317232734
4,0,0,0,1,0,0.0404789592972727
4,0,1,0,1,0,0.146460234548314
4,0,2,0,1,0,0.464404060301438
4,0,3,0,1,0,0.994310436556644
4,1,0,0,1,0,0.0471027890004628
4,1,1,0,1,0,0.153084064251504
4,1,2,0,1,0,0.471027890004628
4,1,3,0,1,0,1.00093426625983
